Kotijoukkue,Vierasjoukkue,Kotijoukkueen_maalit,Vierasjoukkueen_maalit,Kotijoukkueen_kerroin,Tasapelikerroin,Vierasjoukkueen_kerroin,Kotil,Vierasl,Kotijoukkue_laukausten_ka,Vierasjoukkue_laukausten_ka,Kotijoukkue_koti_laukausten_ka,Kotijoukkue_vieras_laukausten_ka,Vierasjoukkue_koti_laukausten_ka,Vierasjoukkue_vieras_laukausten_ka
Leeds,Everton,1,0,2.39,3.28,3.17,21,7.0,8.57,10.0,8.57,8.0,10.0,10.0
Chelsea,Crystal Palace,0,0,1.84,3.78,4.28,19,11.0,18.12,11.75,18.12,11.38,14.75,11.75
Manchester Utd,Arsenal,0,1,3.82,3.74,1.97,22,9.0,15.14,15.75,15.14,13.56,14.0,15.75
Nottingham,Brentford,3,1,1.93,3.57,4.18,11,10.0,10.75,11.67,10.75,12.38,13.29,11.67
Aston Villa,Newcastle,0,0,2.41,3.52,2.95,3,16.0,14.12,10.62,14.12,11.25,16.12,10.62
Brighton,Fulham,1,1,1.85,3.75,4.32,10,7.0,14.11,13.25,14.11,13.86,13.12,13.25
Sunderland,West Ham,3,0,3.45,3.26,2.26,10,12.0,11.14,10.56,11.14,10.33,11.14,10.56
Tottenham,Burnley,3,0,1.57,4.18,6.28,16,14.0,13.25,9.0,13.25,,7.78,9.0
Wolves,Manchester City,0,4,6.18,4.48,1.53,9,15.0,12.89,14.29,12.89,11.14,14.11,14.29
Liverpool,Bournemouth,4,2,1.32,6.18,8.4,19,10.0,16.56,14.71,16.56,15.12,14.44,14.71
Bournemouth,Leeds,2,0,1.34,5.53,8.43,20,3.0,13.75,8.62,13.75,14.71,8.57,8.62
Fulham,Manchester City,0,2,6.01,4.53,1.52,13,20.0,13.14,13.33,13.14,13.25,14.11,13.33
Sunderland,West Ham,1,3,3.21,3.57,2.22,14,10.0,10.67,10.62,10.67,10.33,11.14,10.62
Liverpool,Crystal Palace,1,1,1.37,5.88,6.91,14,8.0,16.88,12.29,16.88,15.12,14.75,12.29
Manchester Utd,Aston Villa,2,0,4.71,4.23,1.68,24,6.0,13.67,12.0,13.67,13.56,14.12,12.0
Newcastle,Everton,0,1,1.27,6.22,10.7,17,14.0,16.0,9.5,16.0,10.62,10.0,9.5
Nottingham,Chelsea,0,1,3.45,3.75,2.06,10,6.0,10.86,12.14,10.86,12.38,18.12,12.14
Burnley,Arsenal,1,2,11.41,6.44,1.25,7,23.0,7.88,14.71,7.88,9.0,14.0,14.71
Tottenham,Brighton,1,4,3.77,4.05,1.89,4,24.0,14.57,12.17,14.57,,14.11,12.17
Wolves,Brentford,1,1,2.93,3.72,2.31,18,13.0,12.25,11.5,12.25,11.14,13.29,11.5
Crystal Palace,Wolves,4,2,2.38,3.32,3.11,14,12.0,14.86,11.0,14.86,12.29,12.25,11.0
Manchester City,Bournemouth,3,1,1.34,5.54,8.37,12,8.0,14.38,15.83,14.38,13.33,13.75,15.83
Brighton,Liverpool,3,2,2.24,3.87,2.96,25,18.0,12.75,14.71,12.75,12.17,16.88,14.71
Arsenal,Newcastle,1,0,1.91,3.72,3.95,12,14.0,14.29,10.14,14.29,14.71,16.0,10.14
Brentford,Fulham,2,3,2.04,3.74,3.48,11,16.0,13.67,12.86,13.67,11.5,13.14,12.86
Everton,Burnley,2,0,1.43,4.74,7.51,13,6.0,9.57,9.5,9.57,9.5,7.88,9.5
Leeds,Sunderland,2,0,2.27,3.64,3.06,9,20.0,8.5,9.12,8.5,8.62,10.67,9.12
West Ham,Nottingham,1,2,2.99,3.35,2.43,16,10.0,10.33,12.71,10.33,10.62,10.86,12.71
Aston Villa,Tottenham,2,0,1.26,6.58,10.0818,3,,15.71,9.86,15.71,12.0,14.57,9.86
Chelsea,Manchester Utd,1,0,1.57,4.5,5.45,11,4.0,19.14,14.75,19.14,12.14,13.67,14.75
Liverpool,Arsenal,2,2,2.24,3.55,3.16,14,15.0,17.29,14.67,17.29,14.71,14.29,14.67
Manchester Utd,West Ham,0,2,2.01,3.64,3.65,20,9.0,12.4,10.86,12.4,14.75,10.33,10.86
Newcastle,Chelsea,2,0,2.24,3.7,3.04,15,10.0,16.17,12.5,16.17,10.14,19.14,12.5
Nottingham,Leeds,2,2,1.4,5.01,7.69,15,10.0,10.17,8.43,10.17,12.71,8.5,8.43
Tottenham,Crystal Palace,0,2,3.06,3.61,2.26,8,23.0,15.67,10.5,15.67,9.86,14.86,10.5
Bournemouth,Aston Villa,0,1,2.58,3.52,2.68,10,6.0,14.29,13.0,14.29,15.83,15.71,13.0
Fulham,Everton,1,3,1.77,3.66,4.87,18,11.0,12.33,9.29,12.33,12.86,9.57,9.29
Sunderland,Brentford,0,1,5.61,4.67,1.52,11,15.0,10.6,11.0,10.6,9.12,13.67,11.0
Burnley,Manchester City,0,0,13.82,7.49,1.2,2,26.0,8.71,10.8,8.71,9.5,14.38,10.8
Wolves,Brighton,0,2,3.0,3.32,2.44,10,7.0,12.57,13.2,12.57,11.0,12.75,13.2
Crystal Palace,Nottingham,1,1,2.2,3.42,3.37,20,12.0,14.0,12.83,14.0,10.5,10.17,12.83
Brentford,Manchester Utd,4,3,1.65,4.33,4.82,12,14.0,14.0,14.86,14.0,11.0,12.4,14.86
Brighton,Newcastle,1,1,3.11,3.71,2.2,5,13.0,13.86,9.67,13.86,13.2,16.17,9.67
Chelsea,Liverpool,3,1,2.34,3.69,2.88,17,11.0,19.5,15.33,19.5,12.5,17.29,15.33
West Ham,Tottenham,1,1,1.86,3.89,3.98,11,7.0,10.2,10.33,10.2,10.86,15.67,10.33
Arsenal,Bournemouth,1,2,1.68,3.98,4.98,13,19.0,14.5,15.2,14.5,14.67,14.29,15.2
Aston Villa,Fulham,1,0,1.87,3.72,4.15,10,11.0,16.67,13.17,16.67,13.0,12.33,13.17
Everton,Sunderland,2,2,1.56,4.25,5.87,8,12.0,9.83,8.71,9.83,9.29,10.6,8.71
Leeds,Burnley,2,0,2.42,3.53,2.87,14,8.0,7.4,9.8,7.4,8.43,8.71,9.8
Manchester City,Wolves,1,0,1.34,5.37,9.02,9,6.0,15.14,12.0,15.14,10.8,12.57,12.0
Nottingham,Brentford,0,2,2.31,3.52,3.09,14,11.0,9.4,11.0,9.4,12.83,14.0,11.0
Bournemouth,Manchester Utd,1,1,1.96,3.81,3.68,8,25.0,15.33,13.17,15.33,15.2,12.4,13.17
Liverpool,Tottenham,5,1,1.21,7.32,12.3,23,8.0,16.33,10.8,16.33,15.33,15.67,10.8
Brighton,West Ham,3,2,1.79,3.94,4.31,16,12.0,13.5,10.67,13.5,13.2,10.2,10.67
Chelsea,Everton,1,0,1.44,4.75,7.25,10,6.0,21.4,9.83,21.4,12.5,9.83,9.83
Newcastle,Sunderland,3,0,1.17,8.07,15.27,25,4.0,14.4,9.5,14.4,9.67,10.6,9.5
Burnley,Fulham,1,2,5.11,4.08,1.65,7,26.0,9.0,10.6,9.0,9.8,12.33,10.6
Wolves,Leeds,3,0,1.54,4.36,6.05,20,8.0,11.33,8.5,11.33,12.0,7.4,8.5
Arsenal,Crystal Palace,2,2,1.4,4.77,8.41,12,15.0,15.0,9.6,15.0,14.67,14.0,9.6
Manchester City,Aston Villa,2,1,1.91,3.9,3.82,14,7.0,15.33,14.2,15.33,10.8,16.67,14.2
Tottenham,Nottingham,1,2,2.4,3.49,2.96,22,4.0,14.4,14.6,14.4,10.8,9.4,14.6
Fulham,Chelsea,1,2,3.07,3.55,2.3,6,13.0,13.6,12.4,13.6,10.6,21.4,12.4
